,nonce_0
144,120
407,115
34a,114
187,114
083,112
4c0,111
005,110
152,110
2c0,109
00b,109
45d,109
3cd,109
04d,108
346,108
581,108
006,107
4c4,107
0d1,107
301,107
0d2,106
410,106
404,106
449,106
212,106
18c,106
281,106
285,105
141,105
405,105
106,104
906,104
4cb,104
213,104
0ca,104
388,104
3c5,104
008,103
185,103
304,103
00d,103
310,103
196,103
191,103
0c0,103
055,103
1c1,102
3cb,102
2c8,102
145,102
143,102
2c3,102
242,102
04a,102
531,102
2c4,102
2d1,102
0c4,101
2d0,101
402,101
3c3,101
105,101
392,101
1d1,101
38b,101
092,101
118,100
3ca,100
013,100
110,100
446,100
